City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
272,272,Parry Sound,45.3501,-80.033,267.59,68,100,4.11,CA,light snow
273,273,Kisaran,2.9845,99.6158,298.09,80,99,0.56,ID,overcast clouds
274,274,Paragominas,-2.9667,-47.4833,297.67,77,98,1.56,BR,overcast clouds
275,275,Ulhasnagar,19.2167,73.15,298.15,31,1,2.57,IN,smoke
276,276,Puerto Madryn,-42.7692,-65.0385,288.21,71,82,10.36,AR,broken clouds
278,278,Langsa,4.4683,97.9683,298.42,81,84,0.58,ID,broken clouds
279,279,Arraial Do Cabo,-22.9661,-42.0278,297.23,83,100,2.6,BR,overcast clouds
280,280,Nome,64.5011,-165.4064,265.15,79,90,2.06,US,overcast clouds
281,281,Lakhdenpokhya,61.5198,30.1992,262.04,95,99,5.99,RU,overcast clouds
282,282,Carpinteria,34.3989,-119.5185,293.15,50,0,2.12,US,clear sky
283,283,Batagay,67.6333,134.6333,242.64,85,100,1.06,RU,overcast clouds
284,284,Mount Gambier,-37.8333,140.7667,289.15,77,90,6.69,AU,overcast clouds
285,285,Jiazi,22.8779,116.06700000000001,291.87,71,0,5.73,CN,clear sky
286,286,Amga,60.8953,131.9608,241.07,82,100,0.67,RU,overcast clouds
287,287,Jishou,28.3167,109.7167,285.4,82,100,0.95,CN,overcast clouds
288,288,Lebu,-37.6167,-73.65,287.77,93,36,1.01,CL,scattered clouds
289,289,Lodwar,3.1191,35.5973,299.64,50,27,1.39,KE,scattered clouds
290,290,Bikin,46.8161,134.26,251.67,87,70,0.45,RU,broken clouds
292,292,Grindavik,63.8424,-22.4338,274.15,64,0,10.29,IS,clear sky
293,293,Esperance,-33.8667,121.9,289.15,94,90,5.66,AU,light rain
294,294,Saint-Georges,12.0564,-61.7485,298.15,78,20,5.14,GD,few clouds
295,295,Kribi,2.95,9.9167,299.62,86,95,3.05,CM,overcast clouds
296,296,Hasaki,35.7333,140.8333,281.15,57,20,2.06,JP,few clouds
297,297,Sorland,67.667,12.6934,274.94,79,8,8.91,NO,clear sky
298,298,Waipawa,-41.4122,175.5153,296.48,72,100,4.63,NZ,overcast clouds
299,299,Mantua,45.1667,10.7833,282.59,96,100,2.24,IT,overcast clouds
300,300,Jacksonville,30.3322,-81.6556,288.71,100,90,2.51,US,heavy intensity rain
301,301,Sao Joao Da Barra,-21.6403,-41.0511,295.04,95,100,6.64,BR,overcast clouds
302,302,Rawson,-43.3002,-65.1023,287.87,69,6,9.67,AR,clear sky
303,303,Dunedin,-45.8742,170.5036,288.71,78,0,11.62,NZ,clear sky
304,304,Tazovskiy,67.4667,78.7,241.08,86,98,4.28,RU,overcast clouds
305,305,Broome,42.2506,-75.833,269.15,33,1,1.54,US,clear sky
306,306,Bani Walid,31.7566,13.9942,291.77,27,100,5.33,LY,overcast clouds
307,307,Uray,60.1247,64.7758,270.2,99,100,0.27,RU,snow
308,308,Pathein,16.7833,94.7333,295.77,81,25,2.33,MM,scattered clouds
310,310,Iqaluit,63.7506,-68.5145,270.15,74,90,6.17,CA,overcast clouds
312,312,San Isidro,-12.1167,-77.05,297.04,78,75,5.14,PE,broken clouds
313,313,Nioro,13.35,-15.75,293.56,30,85,4.46,GM,overcast clouds
316,316,Bonavista,48.6499,-53.1147,276.15,93,100,1.54,CA,overcast clouds
317,317,Balatonkenese,47.0402,18.1067,276.48,94,100,4.92,HU,overcast clouds
318,318,Lancaster,40.2504,-76.2499,276.15,48,1,1.04,US,clear sky
319,319,Santa Catarina De Tepehuanes,25.35,-105.7333,287.75,33,32,2.4,MX,scattered clouds
320,320,Carira,-10.3608,-37.7011,297.5,75,85,5.48,BR,overcast clouds
321,321,Burnie,-41.0667,145.9167,289.26,85,10,2.24,AU,clear sky
323,323,Berdigestyakh,62.0989,126.6992,235.95,81,14,1.89,RU,few clouds
325,325,Sambava,-14.2667,50.1667,296.89,90,100,2.09,MG,overcast clouds
326,326,Safranbolu,41.2508,32.6942,280.41,63,26,0.19,TR,scattered clouds
327,327,Port-Cartier,50.0334,-66.8654,272.15,80,98,5.14,CA,overcast clouds
328,328,Rocha,-34.4833,-54.3333,290.91,93,0,2.09,UY,clear sky
329,329,Akyab,20.15,92.9,289.21,63,0,2.64,MM,clear sky
330,330,Tinyahuarco,-10.75,-76.3,278.98,89,100,2.07,PE,overcast clouds
331,331,Pisco,-13.7,-76.2167,296.15,78,75,4.12,PE,broken clouds
332,332,Grants Pass,42.43899999999999,-123.3284,281.48,76,1,1.5,US,clear sky
333,333,Manokwari,-0.8667,134.0833,298.63,87,100,1.26,ID,overcast clouds
334,334,Lasa,46.6166,10.7002,277.04,100,90,5.14,IT,snow
336,336,Kumluca,36.3703,30.2869,287.86,58,0,1.05,TR,clear sky
337,337,Geraldton,-28.7667,114.6,294.15,83,75,9.77,AU,light rain
339,339,Maniitsoq,65.4167,-52.9,271.22,81,0,8.04,GL,clear sky
340,340,Panagar,23.3,79.9833,281.65,61,0,1.24,IN,clear sky
341,341,Nabari,34.6167,136.0833,285.37,76,20,1.03,JP,few clouds
342,342,Vardo,70.3705,31.1107,270.19,96,100,12.9,NO,light snow
343,343,Padang,-0.9492,100.3543,295.15,88,20,1.03,ID,few clouds
344,344,Serenje,-13.2325,30.2352,289.81,96,100,0.89,ZM,light rain
345,345,Thaba Nchu,-29.2093,26.839000000000002,290.15,82,11,5.66,ZA,few clouds
346,346,Meadow Lake,34.8014,-106.5436,284.82,11,1,3.6,US,clear sky
347,347,Salalah,17.0151,54.0924,296.15,68,75,2.57,OM,broken clouds
348,348,Te Anau,-45.4167,167.7167,297.2,39,0,1.96,NZ,clear sky
349,349,Nelson Bay,-32.7167,152.15,299.82,69,81,3.6,AU,broken clouds
350,350,Luau,-10.7073,22.2247,291.72,98,100,1.1,AO,light rain
351,351,Umba,66.6871,34.3429,264.61,96,100,2.23,RU,overcast clouds
352,352,Tumaco,1.7986,-78.8156,298.83,89,100,2.87,CO,light rain
353,353,Guanica,17.9716,-66.908,297.04,70,100,3.48,PR,overcast clouds
354,354,Verkhnyaya Inta,65.9811,60.3094,243.89,85,100,6.26,RU,overcast clouds
355,355,Zhanaozen,43.3,52.8,273.83,86,11,3.65,KZ,few clouds
356,356,Saint-Francois,46.4154,3.9054,282.15,100,90,3.09,FR,overcast clouds
357,357,Ulladulla,-35.35,150.4667,298.15,57,40,2.57,AU,scattered clouds
358,358,Polson,47.6936,-114.1632,274.82,64,100,1.84,US,snow
359,359,Beringovskiy,63.05,179.3167,251.28,90,90,4.13,RU,overcast clouds
360,360,Bengkulu,-3.8004,102.2655,299.41,71,99,1.89,ID,overcast clouds
361,361,Fallon,39.4735,-118.7774,286.15,26,20,3.09,US,few clouds
362,362,Birjand,32.8663,59.2211,280.15,15,0,5.14,IR,clear sky
363,363,Tiznit,29.5833,-9.5,282.2,86,52,5.83,MA,broken clouds
364,364,Dauriya,49.9333,116.8667,248.44,87,100,1.42,RU,overcast clouds
365,365,Shelburne,44.0787,-80.2041,265.15,73,90,5.14,CA,overcast clouds
366,366,Yabrud,33.9674,36.6574,282.15,93,1,4.12,SY,fog
367,367,Hudson Bay,52.85,-102.3842,240.46,83,32,2.6,CA,scattered clouds
368,368,Ketchikan,55.3422,-131.6461,276.15,80,75,4.12,US,broken clouds
369,369,Laborie,13.75,-60.9833,298.15,83,75,7.2,LC,broken clouds
370,370,Polis,35.0367,32.4264,284.15,87,90,2.57,CY,overcast clouds
371,371,Pouso Alegre,-22.23,-45.9364,290.33,92,0,1.94,BR,clear sky
